source,effective_date,inclusions,exclusions,n_inc,n_exc,unmapped_names
ind_prs10062020.pdf,2020-06-26,"ABB,AKZOINDIA,ASHOKLEY,CREDITACC,IBULHSGFIN,IDEA,IIFLWAM,IRCTC,JKCEMENT,L&TFH,MINDAIND,NIACL,NIITTECH,SUMICHEM,TATACOMM","ABBOTINDIA,ENGINERSIN,FCONSUMER,GRAPHITE,HEG,IGL,INDIANB,KRBL,MAHINDCIE,MUTHOOTFIN,NAUKRI,NBCC,STRTECH,TORNTPHARM,VARROC",15,15,
ind_prs20082020.pdf,2020-09-25,,,0,0,
ind_prs23022021.pdf,2021-03-31,"BANKBARODA,CONCOR,DEEPAKNTR,DIXON,GICRE,HINDZINC,IDBI,INDIAMART,LAURUSLABS,MAXHEALTH,OFSS,PERSISTENT,PFC,PGHL,SUVENPHAR,TATAELXSI","ADANIENT,APOLLOHOSP,EDELWEISS,ERIS,FRETAIL,HUDCO,JUBLFOOD,MRF,MRPL,NATIONALUM,NLCINDIA,SFL,SHRIRAMCIT,SYMPHONY,WABCOINDIA,YESBANK",16,16,
ind_prs15092021.pdf,2021-09-30,"ABBOTINDIA,AFFLE,ALKEM,ALKYLAMINE,APLAPOLLO,BLUEDART,HINDCOPPER,INDIANB,IRFC,KAJARIACER,LINDEINDIA,LODHA,MRF,NATIONALUM,PETRONET,UBL,VAIBHAVGBL,WABCOINDIA","AKZOINDIA,ASTRAZEN,BANKBARODA,BBTC,CESC,CHOLAFIN,CREDITACC,GODREJAGRO,IBULHSGFIN,IDBI,IIFLWAM,JINDALSTEL,JMFINANCIL,PGHL,PIIND,SAIL,SJVN,VGUARD",18,18,
ind_prs22102021.pdf,2021-10-29,SONACOMS,GMRINFRA,1,1,
ind_prs24022022_1.pdf,2022-03-31,"AUROPHARMA,CGPOWER,CLEAN,FLUOROCHEM,GRINDWELL,HAPPSTMNDS,HINDPETRO,IDBI,IEX,IGL,JINDALSTEL,NUVOCO,POLICYBZR,STARHEALTH,TRIDENT,TTML,YESBANK","AMARAJABAT,CASTROLIND,CHOLAHLDNG,CUB,DHANI,GILLETTE,HINDCOPPER,ITI,MGL,MINDTREE,MOTILALOFS,RBLBANK,SRF,SUVENPHAR,TTKPRESTIG,VAIBHAVGBL,ZYDUSWELL",17,17,
ind_prs05042022.pdf,2022-05-04,GMRINFRA,AARTIIND,1,1,
ind_prs11072022.pdf,2022-08-08,DELHIVERY,TATAPOWER,1,1,
ind_prs01092022.pdf,2022-09-30,"AWL,DEVYANI,JUBLFOOD,KPRMILL,LUPIN,MANYAVAR,MSUMI,PATANJALI,PNB,POONAWALLA,SAIL,ZYDUSLIFE","APOLLOTYRE,ATGL,BEL,EXIDEIND,GLENMARK,HAL,IDBI,IRCTC,MANAPPURAM,METROPOLIS,MPHASIS,NUVOCO",12,12,
ind_prs17022023_1.pdf,2023-03-31,"AARTIIND,ADANIPOWER,APOLLOTYRE,BANDHANBNK,BIOCON,FINEORG,GLAND,METROBRAND,MPHASIS,NMDC,PAYTM,PEL,TIMKEN","ABB,APLLTD,AWL,CANBK,GSPL,HATSUN,IEX,INDIAMART,NATCOPHARM,NATIONALUM,PAGEIND,SANOFI,VBL",13,13,
ind_prs04072023.pdf,2023-07-13,MANKIND,JINDALSTEL,1,1,
ind_prs17082023.pdf,2023-09-29,"ACC,BDL,CARBORUNIV,FACT,HDFCAMC,INDUSTOWER,JSL,KPITTECH,MAHABANK,MAZDOCK,NYKAA,PAGEIND,RVNL","AAVAS,AFFLE,ALKYLAMINE,CLEAN,FINEORG,HAPPSTMNDS,NAM-INDIA,PNB,SHRIRAMFIN,TRENT,TTML,TVSMOTOR,ZYDUSLIFE",13,13,
ind_prs28022024.pdf,2024-03-28,"AWL,IDBI,IREDA,JSWINFRA,KALYANKJIL,KEI,LLOYDSME,MUTHOOTFIN,PGHH,PIIND,SJVN,SUZLON,TATATECH,UPL","AARTIIND,ADANIPOWER,BLUEDART,CROMPTON,IRFC,NAVINFLUOR,PFC,PFIZER,RAJESHEXPO,RECLTD,RELAXO,TRIDENT,VINATIORGA,WHIRLPOOL",14,14,
ind_prs23082024.pdf,2024-09-30,"BERGEPAINT,BHARTIHEXA,CENTRALBK,COCHINSHIP,COLPAL,EXIDEIND,HUDCO,IOB,IRB,IREDA,MARICO,MEDANTA,MRPL,NAM-INDIA,NLCINDIA,POWERINDIA,SBICARD,SRF,TATAINVEST","ATUL,BATAINDIA,BHEL,DEVYANI,IDEA,ISEC,JSWENERGY,KAJARIACER,KANSAINER,LALPATHLAB,LAURUSLABS,LODHA,MANYAVAR,NHPC,PEL,RAMCOCEM,SUMICHEM,UNIONBANK,ZEEL",19,19,
ind_prs21022025.pdf,2025-03-28,"360ONE,APARINDS,ATGL,BHEL,BLUESTARCO,GLENMARK,GVT&D,IRCTC,MOTILALOFS,NATIONALUM,NHPC,NTPCGREEN,OLAELEC,PREMIERENE,UNIONBANK,VMM,WAAREEENER","BAYERCROP,CARBORUNIV,CGPOWER,DELHIVERY,FACT,GRINDWELL,IDBI,INDHOTEL,IOB,METROBRAND,PGHH,POONAWALLA,SKFINDIA,SUNDRMFAST,TATACHEM,TIMKEN,ZFCVINDIA",17,17,
ind_prs22082025.pdf,2025-09-30,"DABUR,FACT,GODFRYPHLP,HEROMOTOCO,HEXT,ICICIPRULI,IDBI,INDUSINDBK,IOB,ITCHOTELS,PGHH,SWIGGY,UCOBANK","ABFRL,BANDHANBNK,EMAMILTD,GLAND,HINDZINC,MAXHEALTH,MAZDOCK,MRPL,MSUMI,OLAELEC,SOLARINDS,STARHEALTH,SUNTV",13,13,
ind_prs23022026.pdf,2026-03-30,"AIIL,ANTHEM,BAJAJHFL,GROWW,HAVELLS,HDBFS,ICICIAMC,ICICIGI,JSWENERGY,LAURUSLABS,LENSKART,LGEINDIA,LICI,MCX,NAUKRI,RADICO","CUMMINSIND,DEEPAKNTR,FACT,GUJGASLTD,HDFCAMC,IDBI,IGL,IOB,IRB,MUTHOOTFIN,PGHH,SONACOMS,SYNGENE,TATATECH,UCOBANK,UNIONBANK",16,16,
ind_prs10082026.pdf,2026-09-30,"ASTERDM,EMBASSY,FACT,HINDCOPPER,INDHOTEL,IOB,LODHA,MEESHO,NH,PIRAMALFIN,RECLTD,SHREECEM,UNITDSPR","3MINDIA,ACC,APOLLOTYRE,AWL,BSE,HONAUT,IDEA,KPITTECH,NIACL,POLYCAB,POWERINDIA,SJVN,TATAELXSI",13,13,
